GLDW.LN,WisdomtreeCorePhysicalGold,6
CDNA,CaredxInc,1
HIFS,HinghamInstForSvg,1
0AAE.LN,AutostoreHoldingsOrdShs,6
UNCRY,UnicreditoSpa2017ADR,1
THS,TreehouseFoods,1
COOP,Mr.CooperGroupInc,1
CEQP,CrestwoodEquityPartnersLP,1
APG,ApiGroupCorp,1
IISU.LN,IshrsSp500IndusSctrUcitsETFUSDAcc,6
AMS.Z.EB,AmsAg,6
SID,CompanhiaSiderurgicaNacionalADR,1
G1A.D.DX,GeaGroupAg,6
CDE,CoeurMiningInc,1
UMI.B.DX,UmicoreSa,6
SDF.D.DX,K+SAg,6
NOA-DB-A.TO,NaConstructionGrpLtd500%Conv.Unsec.SubDE,11
ALDX,AldeyraTherapeu,1
PPBI,PacificPremierBncp,1
LTH.VN,LithiumIonicCorp,6
GSHD,GooseheadInsuranceIncClA,1
AMUN.P.DX,AmundiSa,6
BVI.P.DX,BureauVeritasSa,6
BSE.LN,BaseResourcesLimited,6
0QUS.LN,G5EntertainmentAb[Publ],6
DVNO.LN,DevelopNorthPlc,6
ADYEY,AdyenNVADR,1
STW.AX,SPDRS&P/Asx200Fund,6
DOMO,DomoIncClB,1
QNST,QuinstreetInc,1
ABCB,AmerisBancorp,1
ATE.FP,Alten,6
TSCDY,TescoPlcADR,1
MNMD,MindMedicineMindmedInc,1
VACN.Z.IX,VatGroupAg,6
SDGR,SchrodingerInc,1
BOCH.LN,BankofCyprusHoldingsPublicLimitedCompany,6
FLTR.I.DX,FlutterEntertainmentPlc,6
0A02.LN,NeoenOrdShs,6
DRDR.LN,IshsHealthcareInnvtionUcitsETFAcc,6
0R3I.LN,ScatecSolarOrdShs,6
SVW.AX,SevenGroupHoldingsLtd,6
ANP.LN,AnparioPlc,6
TNET,TrinetGroupInc,1
0IIF.LN,VivendiOrdShs,6
ATGE,AdtalemGlobalEducationInc,1
NGLOY,AngloAmericanPlcADR,1
BANF,BancfirstCorp,1
MAG,MAGSilverCorp,1
ARNC,ArconicCorp,1
FR.TO,FirstMajesticSilverCorpCommon,6
NOVOB.C.EB,NovoNordiskA/S,6
SEM,SelectMedicalHoldingsCorp,1
AAON,AaonInc,1
E,EniS.P.A.ADR,1
NSP,InsperityInc,1
0JKH.LN,IsharesMSCIIndonesiaETF,6
RESUR.S.DX,ResursHoldingAb,6
0QK6.LN,LogitechInternationalOrdShs,6
UBI.P.DX,UbisoftEntertainmentSa,6
EDF.FP,Edf,6
MNRO,MonroMufflerBrak,1
0QVJ.LN,EuronextOrdShs,6
SCE.LN,SurfaceTransformsPlc,6
0Q99.LN,AgeasOrdShs,6
AGRO,AdecoagroS.A.,1
PGHN.Z.EB,PartnersGroupHoldingAg,6
SUN,SunocoLP,1
DVAX,DynavaxTechnologies,1
SBR,SabineRoyaltyTrust,1
WIT,WiproLtdADR,1
NXE.TO,NexgenEnergyLtd,6
HTH,HilltopHoldingsInc,1
APXI,ApxAcquisitionCorpIClA,11
IRWD,IronwoodPharmaceuti,1
CATC,CambridgeBancorp,1
KDNY,ChinookTherapeuticsInc,1
EVRI,EveriHoldingsInc,1
HMEU.LN,HSBCMSCIEuropeUcitsETF,6
3LIP.LN,Graniteshares3XLongNioDailyEtp,6
DBI,DesignerBrandsInc,1
HTWG.LN,L&GHydrogenEconomyETF,6
PMET.VN,PatriotBatteryMetalsInc,6
SWECB.S.DX,SwecoAb,6
NWN,NorthwestNaturalGasCompany,1
AMBEA.S.DX,AmbeaAb,6
3MSF.LN,Levshares3XMicrosoftEtp,6
GLNCY,GlencoreInternationalPlcADR,1
MOG.A,MoogIncClA,1
BPM.LN,B.P.Marsh&PartnersPlc,6
PCA.LN,PalaceCapitalPlc,6
WKHS,WorkhorseGrp,1
AMSYF,ArcelormittalSa,1
IVR,InvescoMortgageCapitalInc,1
ACS.E.DX,AcsActividadesDEConstruccionYServiciosSa,6
GINC.LN,FirsttrustGlobalequityIncomeUcitsETF,6
GBDC,GolubCapitalBdc,1
ALIV.S.IX,AutolivInc,6
CBAY,CymabayTherapeutics,1
XPP.L.EB,XPPowerLtd,6
REN.A.DX,RelxPlc,6
JELD,Jeld-WenHoldingInc,1
KRX.I.DX,KingspanGroupPlc,6
GRWG,GrowgenerationCorp,1
INE.TO,InnergexRenewableEnergyInc,6
NAT,NordicAmericanTankerShippingLtd,1
PFC.L.EB,PetrofacLtd,6
ECPG,EncoreCapitalGroup,1
KGX.D.DX,KionGroupAg,6
MGPI,MGPIngredientsInc,1
0RUN.LN,RovioEntertainmentOrdShs,6
CAE.TO,CaeInc,6
ENC.E.DX,EnceEnergiaYCelulosaSa,6
MSGM,MotorsportGamesIncClA,1
MODV,ModivcareInc,1
BAND,BandwidthInc,1
SNBR,SleepNumberCorp,1
RNK.L.EB,RankGroupPlc,6
SSEEF,SSGASPDRETFSEurop,1
0FFY.LN,NokianRenkaatOrdShs,6
CBU7.LN,IshrsUSDTrsryBond3-7YrETFUSD[Acc],6
MTVC,MotiveCapitalCorpII,11
CCL-B.TO,CclIndustriesIncClBNV,6
PIMT.LN,WisdomtreeIndustrialMetals-DailyHgd,6
KOF,CocaColaFemsaS.A.B.DEC.V.ADR,1
FULT,FultonFinancialCor,1
0QDS.LN,EvonikIndustriesOrdShs,6
MWA,MuellerWaterProducts,1
VRTV,VeritivCorp,1
ODP,OfficeDepot,1
STORC.S.DX,StorskogenGroupAb,6
IPN.P.DX,IpsenSa,6
GEBN.Z.EB,GeberitAg,6
AEET.LN,AquilaEnergyEfficiencyTrustPlc,6
ZEAL.C.DX,ZealandPharmaA/S,6
VGS.AX,VanguardMSCIIndexInternationalSharesETF,6
BNL,BroadstoneNetLeaseIncClA,1
VERV,VerveTherapeuticsInc,1
AIN,AlbanyInternationalCorp,1
NEXI.M.DX,NexiSpa,6
CASH,PathwardFinancialInc,1
DLO,DlocalLtdClA,1
CHI.LN,CTUKHighIncomeTrustPlc,6
NUS,NuSkinEnterprises,1
TROX,TronoxInc,1
UC82.LN,UbsetfBlmBarcUSLiqCrp1-5HDToGBP,6
JPM-L,JpmorganChase&Co.[Jpm/Pl],11
GSY.TO,GoeasyLtd,6
0OJC.LN,GjensidigeForsikringASAOrdShs,6
0MEC.LN,NordexOrdShs,6
TET.L.EB,TreattPlc,6
JDEP.NA,"JdePeets",6
WRT1V.H.DX,WartsilaOyjAbp,6
LTH,LifeTimeGroupHoldingsInc,1
GTN,GrayTelevision,1
BPE.M.DX,BperBanca,6
BYDDY,BydCompanyLtdADR,1
WDO.TO,WesdomeGoldMinesLtd,6
TYM.LN,TertiaryMineralsPlc,6
KYMR,KymeraTherapeuticsInc,1
INDB,IndependentBkCorp,1
HSKA,HeskaCorp,1
SSLN.LN,IsharesPhysicalSilverEtc,6
JRS.LN,JpmorganRussianSecuritiesPlc,6
STLC.TO,StelcoHoldingsInc,6
FCFS,FirstcashHoldingsInc,1
IAPD.LN,IsharesAsiaPac.DivUcitsETFUSDDist,6
SDV.LN,ChelvertonUKDividendTrustPlc,6
QTWO,Q2HoldingsInc,1
KT,KoreaTelecomCorpADR,1
ESE,EscoTechnologiesInc,1
PSEC,ProspectCapitalCp,11
ASTS,AstSpacemobileInc,1
EFN.TO,ElementFleetManagementCorp,6
RAPT,RaptTherapeuticsInc,1
RVMD,RevolutionMedicinesInc,1
EIMI.LN,IsharesCoreEMIMIUcitsETFUSD[Acc],6
MGNS.L.EB,MorganSindallGroupPlc,6
MOCOR.H.DX,MetsoOutotecOyj,6
DEA,EasterlyGovernmentProperties,1
IMGO,ImagoBiosciencesInc,1
3PLU.LN,3XPlug,6
MMSI,MeritMedicalSys,1
EGO,EldoradoGoldCorp,1
GDRX,GoodrxHoldingsIncClA,1
DNN,DenisonMinesCorp,1
TPG,TpgIncClA,11
BOSS.D.DX,HugoBossAg,6
0MGU.LN,RemyCointreauOrdShs,6
NHI,NationalHealthInvestors,1
FLNG.O.DX,FlexLngLtd,6
MLAB,MesaLabsInc,1
IPAR,InterParfumsInc,1
SMR.AX,StanmoreResourcesLtd,6
HMS.S.DX,HmsNetworksAb,6
WHR.L.EB,WarehouseREITPlc,6
BIPC,BrookfieldInfrastructurePartnersLPClA,1
0OO9.LN,FreseniusSeandCOKgaaOrdShs,6
JT13.LN,UBSETFJapanTreasury1-3Acc,6
EVBG,EverbridgeInc,1
RBA.TO,RitchieBrosAuctioneersInc,6
72HN.LN,MerchantsTrustPlc,6
PST.M.DX,PosteItalianeSpa,6
VPH-DB.TO,ValeoPharmaInc12.0PctDebs,11
QBTS,D-WaveQuantumInc,1
ENX.P.DX,EuronextNV,6
KORI.FP,Korian,6
EFC,EllingtonFinancialLlc,1
0MGR.LN,FaureciaOrdShs,6
AY,AtlanticaYieldPlc,1
KRUS,KuraSushiUSAIncClA,1
RBI.V.DX,RaiffeisenBankInternationalAg,6
DICE,DiceTherapeuticsInc,1
SCVL,ShoeCarnivalInc,1
COG.LN,CambridgeCognitionHoldingsPlc,6
CJT.TO,CargojetInc,6
LILAK,LibertyLatinAmericaClC,1
SKT,TangerFactoryOutletCenters,1
LIME.S.DX,LimeTechnologiesAb,6
UFPT,UFPTechInc,1
RSE.L.EB,RiverstoneEnergyLtd,6
BBVXF,BancoBilbaoVizcaya,1
SBA3.LN,LeverageSharesPublicLimitedCompany,6
ADT1.LN,AdriaticMetalsPlc,6
JBSS,JohnBSanfilippo,1
PAEX.LN,IvzMSCIEMCpaESGUcitsETFAcc,6
SSTY.LN,SafestayPlc,6
TER.AX,TerracomLtd,6
MORF,MorphicHoldingInc,1
0RFP.LN,ResursHoldingAb[Publ],6
AR-DB-U.TO,ArgonautGoldInc4.625%,11
PD.TO,PrecisionDrillingCorp,6
CNC.LN,ConcurrentTechnologiesPlc,6
REI,RingEnergyInc,1
XAR.LN,XaarPlc,6
0AB9.LN,DaimlerTruckHoldingEOrdShs,6
S100.LN,InvescoFTSE100UcitsETF,6
0QVI.LN,WorldlineOrdShs,6
ATAT,AtourLifestyleHoldingsADR,1
TVTX,TravereTherapeuticsInc,1
FC-DB-I.TO,FirmCapitalMtgInvCorp5.40PctDebs,11
ENOV,EnovisCorp,1
MTX,MineralsTechnologiesInc,1
VK.P.DX,VallourecSa,6
PLTK,PlaytikaHoldingCorp,1
0RLT.LN,QiagenOrdShs,6
TURL.LN,LyxorMSCITurkeyUcitsETF-AccGbx,6
BAYRY,BayerAktiengesADR,1
0MHM.LN,SchibstedOrdShs,6
VSAT,ViasatInc,1
DSDVY,DsvA/SADR,1
SLHN.Z.IX,SwissLifeHoldingAg,6
0N0B.LN,WalleniusWilhelmsenLogisticsOrdShs,6
OMI.LN,OrosurMiningInc,6
IBZL.LN,IsharesMSCIBrazilUcitsETFUSD[Dist],6
0KBI.LN,KnorrBremseOrdShs,6
0H4K.LN,AccionaOrdShs,6
3BAL.LN,WisdomtreeEuroStoxxBanks3XDailyLev,6
SWET,AthlonAcquisitionCorpClA,11
HE,HawaiianElectricIndustries,1
PRTC.L.EB,PuretechHealthPlc,6
CNYA.LN,IshsMSCIChinaAUcitsETFUSD[Acc],6
MD,PediatrixMedicalGroupInc,1
VLA.FP,Valneva,6
MERC,MercerIntlInc,1
EXPI,ExpRealtyInternational,1
OTTR,OtterTailCorp,1
TERN.LN,TernPlc,6
DJSC.LN,IsharesEURStoxxSmlUcitsETFEURDist,6
3NIO.LN,Ls3XLongNioEtp,6
0QOA.LN,TemenosGroupOrdShs,6
STB.LN,SecureTrustBankPlc,6
IDBT.LN,Ishares$Tres.Bd1-3YrUcitsETFUSDDist,6
PHR,PhreesiaInc,1
MAB.L.EB,Mitchells&ButlersPlc,6
TPG.AX,TpgTelecomLtd,6
CHS,"ChicosFas",1
WRKS.LN,Theworks.Co.UkPlc,6
IMVAF,IsharesVIPlc,1
GOF,Claymore/GuggenheimStrategicFund,11
WAFD,WashingtonFederal,1
OXM,OxfordIndustries,1
SAH,SonicAutomotive,1
DFDS.C.DX,DfdsA/S,6
BBSI,BarrettBusinessS,1
UBTP.LN,UbsetfBlmBarcTips1-10HDGBPA-Acc,6
IVVDB.AX,,6
TLX.AX,TelixPharmaceuticalsLtd,6
0YH9.LN,NetcompanyGroupOrdShs,6
INPST.NA,InpostS.A.,6
OTLY,OatlyGroupAbADR,1
JAM.L.EB,JpmorganAmericanInvestmentTrustPlc,6
NCMGY,NewcrestMiningLtdADR,1
SPAP.LN,InvescoPhysicalPalladiumEtc,6
ACT,EnactHoldingsInc,1
MSGE,MadisonSquareGardenEntertainmentCorp,1
CMCL.LN,CaledoniaMiningCorporationPlc,6
ISUS.LN,IshrsMSCIUSAIslmicUcitsETFUSDDist,6
0QW0.LN,ArgenxOrdShs,6
IWRD.NA,IsharesWorld,6
NSR.AX,NationalStorageREIT,6
SKYW,SkywestInc,1
RSLS,ReshapeLifesciencesInc,1
BMEZ,BlackrockHealthSciencesTrustII,11
FSS,FederalSignalCorp,1
PATK,PatrickIndsInc,1
MVUS.LN,IshrsEdgeS&P500MinVolETFUSD[Acc],6
TRIN.LN,TrinityExploration&ProductionPlc,6
TETY.S.DX,TethysOilAb,6
COST.L.EB,CostainGroupPlc,6
DOO.TO,BrpInc,6
DNOW,NowInc,1
ELE.E.DX,EndesaSa,6
PRAX,PraxisPrecisionMedicinesInc,1
CRAI,CraInternational,1
MKA.LN,MkangoResourcesLtd,6
IIP-UN.TO,InterrentRealEstateInvestmentTrust,6
MINV.LN,IshrsEdgeMSCIWrldMinvolETFUSDAcc,6
CRMT,"AmericasCar-Mart",1
STMN.Z.EB,StraumannHoldingAg,6
IRMD,IradimedCp,1
MBC,MasterbrandInc,1
3LMP.LN,Graniteshares3XLongMsftDailyEtp,6
WBT.AX,WeebitNanoLtd,6
RWT,RedwoodTrust,1
WDP.BB,Wdp,6
OSW,OnespaworldHoldingsLtd,1
REAL,TheRealrealInc,1
GOT.LN,GlobalOpportunitiesTrustPlc,6
GCSG.LN,AmGlCorpSri1-5YUcitsETFDrHgbp,6
UQLT.LN,UbsetfFactorUSAQualityH.GBPA-Dis,6
FSV,FirstsrvceSubVTSh,1
INDI,IndieSemiconductorClA,1
AKTS,AkoustisTechnologiesInc,1
0AAR.LN,IntercosOrdShs,6
KC,KingsoftCloudHoldingsLtdADR,1
STX.AX,StrikeEnergyLtd,6
XMEU.LN,XMSCIEurope1C,6
NVMI,NovaLtd,1
NCNO,NcinoInc,1
AGS.B.DX,AgeasSa/Nv,6
LOB,LiveOakBancsh,1
ELIS.FP,Elis,6
DUFN.Z.EB,DufryAg,6
AVNT,AvientCorp,1
INW.M.DX,InfrastruttureWirelessItalianeSpa,6
ATLPF,AtlasCopcoAb,1
GEF,GreifBrosCorp,1
COGO.LN,WTAt1CocoBondUcitsETF-GBPHedged,6
LXP,LxpIndustrialTrust,1
IPCO.TO,InternationalPetroleumCorp,6
NVA.TO,NuvistaEnergyLtd,6
ESPR,EsperionTheraptc,1
FORM,FormfactorInc,1
KRKR,36KrHoldingsIncADR,1
PRO,ProsHoldings,1
VUSA.NA,VanguardS&P500,6
0NX2.LN,AbbOrdShs,6
TBLA,Taboola.comLtd,1
PDO,PimcoDynamicIncomeOpportunitiesFund,11
RLJ,RljLodgingTrust,1
PONO,PonoCapitalCorpClA,1
BCC,BoiseCascadeL.L.C.,1
FHB,FirstHawaiianInc,1
GATX,GATXCorp,1
CIM,ChimeraInvestmentCorp,1
ATSG,AirTransport,1
SLDP,SolidPowerIncClA,1
0RVI.LN,HellofreshOrdShs,6
0NOL.LN,AdvaOpticalNetworkingSe,6
8TRA.S.DX,TratonSe,6
PRY.M.DX,PrysmianSpa,6
WSFS,WSFSFinancialCorp,1
IXI.LN,IxicoPlc,6
VPK.NA,Vopak,6
CHR-DB-B.TO,ChorusAviationInc6.00PctDebs,11
FSRD,FastRadiusInc,1
ESLT,ElbitSystemsLtd,1
TNE.AX,TechnologyOneLtd,6
PRVB,ProventionBioInc,1
BANC,FirstPactrustBancorp,1
ECVT,PqGroupHoldingsInc,1
0NP8.LN,AeroportsDEParisOrdShs,6
CMPG.LN,CTGlobalManagedPortfolioTrustPlc,6
ARU.AX,ArafuraRareEarthsLtd,6
WWH.L.EB,WorldwideHealthcareTrustPlc/Fund,6
ESGE.FP,MultiMSCIEURLea,6
INFN,InfineraCorp,1
TWNI,TailwindInternationalAcquisitionCorpClA,11
HLX,HelixEnergySolutionsGroup,1
SREN.Z.EB,SwissReAg,6
HINT.L.EB,HendersonInternationalIncomeTrustPlc,6
ASIT.LN,AberforthSplitLevelIncomeTrustPlc,6
LGF.A,LionsGateEntertainmentCorpClA,1
AVID,AvidTechInc,1
IMGN,ImmunogenInc,1
RTO,RentokilInitialPlcADR,1
LDR.AX,LodeResourcesLtd,6
NAD,NuveenDivadvFund,11
HOV,HovnanianEnterprisesInc,1
EQX,EquinoxGoldCorp,1
USPH,U.S.PhysicalTherapy,1
DBI.AX,DalrympleDefSet[Dbi],6
FRG,FranchiseGroupInc,1
TOM2.NA,Tomtom,6
STAR,IstarFinancialInc,1
CPC.LN,CityPubGroupPlc[The],6
BETCO.S.DX,BetterCollectiveA/S,6
LSL.LN,LslPropertyServicesPlc,6
0ACT.LN,AlzchemAgOrdShs,6
IRNT,IronnetInc,1
CAJ,CanonIncADR,1
WFC-Z,WellsFargo&Company[Wfc/Pz],11
TFW.LN,Thorpe[F.W.]Plc,6
BLCO,Bausch&LombCorp,1
BOWL,BowleroCorpClA,1
MNKS.L.EB,MonksInvestmentTrustPlc/The,6
STN.TO,StantecInc,6
KTB,KontoorBrandsInc,1
LI.VN,AmericanLithiumCorp,6
ATUS,AlticeUSAIncClA,1
CXM,SprinklrIncClA,1
JWEL.TO,JamiesonWellnessInc,6
NS,NustarEnergyLP,1
GGRG.LN,WTGlblQualDivGrowthUcitsETF-USD,6
FLWS,1-800-Flowers.com,1
CU71.LN,IshrsUSDTrsryBond3-7YrETFUSD[Acc],6
ACMR,AcmResearchInc,1
VIP.LN,ValueandIndexedPropertyIncomeTrustPlc,6
SLR.E.DX,SolariaEnergiaYMedioAmbienteSa,6
PLL.AX,PiedmontLithiumLtd,6
IDUS.LN,IsharesS&P500UcitsETFUSD[Dist],6
FOGB.LN,RizeSusFutureofFoodUcitsETF,6
ATCX,AtlasTechnicalConsultantsInc,1
SNDX,SyndaxPharma,1
G24.D.DX,Scout24Ag,6
DFCH.LN,DistributionFinanceCapitalHoldingsPlc,6
CERT,CertaraInc,1
EPROB.S.DX,ElectroluxProfessionalAb,6
3LSI.LN,WisdomtreeSilver3XDailyLeveraged[],6
HMCX.LN,HSBCFTSE250UcitsETF,6
TLRY.TO,TilrayInc,6
PZC.L.EB,PzCussonsPlc,6
CATY,CathayGenlBncp,1
EBC,EasternBanksharesInc,1
0H13.LN,IndustrivardenAOrdShs,6
PDCO,PattersonCompanies,1
0FGH.LN,NorwegianAirShuttleOrdShs,6
DAWN,DayOneBiopharmaceuticalsInc,1
KAR.AX,KaroonEnergyLtd,6
0QMG.LN,SwissLifeHoldingOrdShs,6
WD,Walker&Dunlop,1
NVX.AX,NovonixLtd,6
ISP6.LN,IshrsS&PSmllCap600ETFUSD[Dist],6
SJT,SanJuanBasinRoyaltyTrust,1
0QK3.LN,DufryOrdShs,6
A200.AX,Betaaus200ETFUnits[A200],6
WCOG.LN,WTEnhancedCommodityUcitsETFUSD,6
SUR.LN,SureserveGroupPlc,6
ALHC,AlignmentHealthcareInc,1
ICFI,IcfInternational,1
OFC,CorporateOfficeProperties,1
PLAB,PhotronicsInc,1
SHUA,ShuaaPartnersAcquisitionCorpIClA,11
ALFA.S.EB,AlfaLavalAb,6
BORR,BorrDrillingLtd,1
RCUS,ArcusBiosciencesInc,1
MEX.LN,TortillaMexicanGrillPlc,6
CRE.L.EB,ConduitHoldingsLtd/Bermuda,6
FTAI,FtaiAviationLtd,1
RES,RPCInc,1
0A24.LN,Ishares$TreasBd0-1YrUcitsETFMXNHD,6
0NX1.LN,AalbertsIndustriesOrdShs,6
EWCZ,EuropeanWaxCenterClA,1
0HQ8.LN,ArjoAb[Publ],6
PUMP,PropetroHoldingCorp,1
BNFT,Benefitfocus,1
IBRX,ImmunitybioInc,1
0QKI.LN,SwisscomOrdShs,6
GBUS.LN,WisdomtreeLongUSDShortGBP,6
UFO.LN,AlienMetalsLimited,6
SHOT.S.DX,ScandicHotelsGroupAb,6
0O5H.LN,ElektaBOrdShs,6
TIT.M.DX,TelecomItaliaSpa/Milano,6
0H59.LN,AccorOrdShs,6
YRI.TO,YamanaGoldInc,6
OSIS,OSISystemsInc,1
VICR,VicorCp,1
RUSHA,RushEntprClA,1
HTZWW,HertzGlobalHldgsIncWT,11
SBM.AX,STBarbaraLtd,6
KNM.LN,KonamiHoldingsCorporation,6
TK,TeekayShippingCorp,1
BRG.O.DX,BorregaardASA,6
PBH,PrestigeBrandHoldings,1
3PYP.LN,Levshares3XPaypalEtp,6
MNKD,MannkindCorp,1
GRT-UN.TO,GraniteRealEstateInvestmentTrust,6
FIH.LN,FihGroupPlc,6
PROT.O.DX,ProtectorForsikringASA,6
ACRE,AresCommercialRealEstateCor,1
AED.BB,Aedifica,6
VUSD.LN,VanguardS&P500UcitsETF,6
DGII,DigiIntlInc,1
ZUO,ZuoraInc,1
JPM-K,JpmorganChase&Co.[Jpm/Pl],11
GFLU,GflEnvironmentalIncTangibleEquityUnits,11
EGL.PL,MotaEngil,6
AWR,AmericanStatesWaterCompany,1
BGA.AX,BegaCheeseLtd,6
HCG.TO,HomeCapitalGroupInc,6
XLKQ.LN,InvescoTechnologS&PUSSectorUcitETF,6
TENT.LN,TriplePointEnergyTransitionPlc,6
POU.TO,ParamountResourcesLtd,6
CRUD.LN,WisdomtreeWTICrudeOil,6
VER.V.DX,VerbundAg,6
SBGI,SinclairBrdcstA,1
SD,SandridgeEnergyInc,1
HEES,H&EEquipServices,1
ZETA,ZetaGlobalHoldingsCorpClA,1
ESTA,EstablishmentLabsHoldingsInc,1
